id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,10,3603,4603,13603,1,ACKED,3650,1,3610,3630,1,27,0,0
2,CLEAR,10,4017,5017,14017,1,ACKED,4360,2,4020,4340,1,323,0,0
3,RAISE,8,4252,5252,14252,1,ACKED,4300,1,4260,4280,1,28,0,0
4,CLEAR,8,4829,5829,14829,1,ACKED,4870,1,4830,4850,1,21,0,0
5,RAISE,6,6312,7312,16312,1,ACKED,6360,1,6320,6340,1,28,0,0
6,CLEAR,6,7476,8476,17476,1,ACKED,7520,1,7480,7500,1,24,0,0
7,RAISE,7,9319,10319,19319,1,ACKED,9660,2,9320,9640,1,321,0,0
8,RAISE,3,9427,10427,19427,1,ACKED,9770,2,9430,9750,1,323,0,0
9,RAISE,9,9511,10511,19511,1,ACKED,9860,2,9520,9840,1,329,0,0
10,CLEAR,7,10077,11077,20077,1,ACKED,10120,1,10080,10100,1,23,0,0
11,CLEAR,3,10664,11664,20664,1,ACKED,10710,1,10670,10690,1,26,0,0
12,CLEAR,9,10844,11844,20844,1,ACKED,11490,3,10850,11470,1,626,0,0
13,RAISE,2,15587,16587,25587,1,ACKED,15630,1,15590,15610,1,23,0,0
14,CLEAR,2,15850,16850,25850,1,ACKED,15890,1,15850,15870,1,20,0,0
15,RAISE,4,16755,17755,26755,1,ACKED,17100,2,16760,17080,1,325,0,0
16,CLEAR,4,18094,19094,28094,1,ACKED,18140,1,18100,18120,1,26,0,0
17,RAISE,1,19290,20290,29290,1,ACKED,19330,1,19290,19310,1,20,0,0
18,CLEAR,1,19904,20904,29904,1,ACKED,19950,1,19910,19930,1,26,0,0
19,RAISE,5,19983,20983,29983,1,ACKED,20030,1,19990,20010,1,27,0,0
20,CLEAR,5,21408,22408,31408,1,ACKED,21450,1,21410,21430,1,22,0,0
