id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,1,2908,3908,12908,1,ACKED,2950,1,2910,2930,1,22,0,0
2,CLEAR,1,3135,4135,13135,1,ACKED,3180,1,3140,3160,1,25,0,0
3,RAISE,5,5700,6700,15700,1,ACKED,5740,1,5700,5720,1,20,0,0
4,CLEAR,5,6898,7898,16898,1,ACKED,6940,1,6900,6920,1,22,0,0
5,RAISE,2,14494,15494,24494,1,ACKED,14540,1,14500,14520,1,26,0,0
6,CLEAR,2,15619,16619,25619,1,ACKED,15660,1,15620,15640,1,21,0,0
7,RAISE,3,22865,23865,32865,1,ACKED,22910,1,22870,22890,1,25,0,0
8,CLEAR,3,23626,24626,33626,1,ACKED,23670,1,23630,23650,1,24,0,0
9,RAISE,6,25482,26482,35482,1,ACKED,25530,1,25490,25510,1,28,0,0
10,CLEAR,6,25808,26808,35808,1,ACKED,25850,1,25810,25830,1,22,0,0
11,RAISE,4,26232,27232,36232,1,ACKED,26280,1,26240,26260,1,28,0,0
12,CLEAR,4,27694,28694,37694,1,ACKED,27740,1,27700,27720,1,26,0,0
