id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,5,4329,5329,14329,1,ACKED,4680,2,4340,4360,1,31,1,0
2,CLEAR,5,5603,6603,15603,1,ACKED,5650,1,5610,5630,1,27,0,0
3,RAISE,6,18764,19764,28764,1,ACKED,19120,2,18780,18800,1,36,1,0
4,RAISE,2,19465,20465,29465,1,ACKED,19510,1,19470,19490,1,25,0,0
5,CLEAR,2,19862,20862,29862,1,ACKED,19910,1,19870,19890,1,28,0,0
6,CLEAR,6,20133,21133,30133,1,ACKED,21390,5,20150,20170,1,37,4,0
7,RAISE,4,23887,24887,33887,1,ACKED,24230,2,23890,23910,1,23,1,0
8,CLEAR,4,24112,25112,34112,1,ACKED,24160,1,24120,24140,1,28,0,0
9,RAISE,3,24994,25994,34994,1,ACKED,25040,1,25000,25020,1,26,0,0
10,CLEAR,3,25573,26573,35573,1,ACKED,25920,2,25580,25600,1,27,1,0
11,RAISE,1,26540,27540,36540,1,ACKED,26580,1,26540,26560,1,20,0,0
12,CLEAR,1,27829,28829,37829,1,ACKED,27870,1,27830,27850,1,21,0,0
